phenotype,diabetes_OR,diabetes_p,hypertension_OR,hypertension_p,abdominal_adiposity_OR,abdominal_adiposity_p,mafld_OR,mafld_p,osteoporosis_OR,osteoporosis_p
body_comp_android_tissue_percent_fat,1.909,1.0346061227549519e-05,1.632,0.003759204504303424,2.113,3.6235530602585423e-06,2.003,2.1352345063105258e-05,1.956,1.6568141843608668e-05
body_comp_total_fat_mass,2.105,4.3079654556689475e-06,1.941,0.0026042565747662824,2.407,1.1948920853402477e-05,2.177,0.00016909252981342935,1.966,0.00036482371078511573
body_comp_trunk_fat_mass,1.928,1.8666102273545522e-05,2.193,0.000472466442489085,2.089,0.0001454161471763563,2.261,7.240213467824545e-05,1.981,0.0002041217622976971
total_scan_vat_area,2.06,1.5561079516533387e-06,2.149,0.0004267606324948878,2.056,0.00013446751444761882,2.811,9.510286836223893e-07,2.042,7.889045548832163e-05
body_comp_android_fat_mass,1.888,2.044168613645104e-05,2.903,2.322395341592404e-06,1.945,0.00020792524846156477,1.995,0.0002490592144595812,2.312,4.617616902842682e-06
body_comp_total_tissue_percent_fat,1.794,3.554741983911157e-05,1.976,0.00012529036198002477,1.662,0.001051495395856841,1.843,0.00018419378720508582,1.5,0.0065373432278232144
body_comp_trunk_region_percent_fat,1.761,3.253023516692887e-05,1.947,0.00012289859305744568,2.338,1.1763422450456326e-07,1.967,2.533863917192852e-05,1.871,3.081536364494609e-05
total_scan_vat_mass,1.948,1.13768578220274e-05,1.819,0.005330012727063355,2.097,0.00010625780947097946,2.578,6.367234239076323e-06,2.189,3.0118290890915873e-05
body_comp_android_region_percent_fat,1.448,0.004387645289139241,1.583,0.005678719139782026,1.381,0.029640357113349298,1.441,0.01591453813154297,1.605,0.001379524522374198
total_scan_sat_mass,1.616,4.568617530663043e-05,1.393,0.03128671514866955,1.45,0.006976234668210024,1.206,0.17780758955034548,1.489,0.002885335898135465
body_comp_arm_left_region_percent_fat,1.302,0.01003558651234065,1.209,0.1440667194395981,1.218,0.09207607431070577,1.088,0.48128078123725326,0.923,0.47684256275131676
body_comp_arm_right_total_mass,0.808,0.03581684867548831,0.825,0.14029201011136147,0.827,0.09638260339432422,0.908,0.41983162619669134,0.901,0.3559428214467738
body_comp_arms_fat_free_mass,0.805,0.03226539526299135,0.878,0.31006719894293355,0.877,0.24414884268370918,0.695,0.0026280246949420207,0.659,0.00029982428740957544
