,phenotype,beta,abs_beta,p_value,n,fdr_p,significant
0,body_comp_total_tissue_percent_fat,0.6916082811691016,0.6916082811691016,4.952662875504721e-10,468,7.428994313257081e-08,True
1,body_comp_total_region_percent_fat,0.6114213178748177,0.6114213178748177,1.8698390902050667e-08,468,1.4023793176538e-06,True
2,body_comp_android_tissue_percent_fat,0.5682979505311334,0.5682979505311334,9.799316509606861e-08,468,4.8996582548034305e-06,True
3,total_scan_vat_area,0.4465098342974069,0.4465098342974069,1.4372625906399061e-05,468,0.0005389734714899648,True
4,body_comp_trunk_fat_mass,0.4380371116721229,0.4380371116721229,1.9472103710251568e-05,468,0.000584163111307547,True
5,body_comp_android_region_percent_fat,0.4228023878013761,0.4228023878013761,4.538325655205859e-05,468,0.0011345814138014648,True
6,total_scan_vat_mass,0.42047454189320493,0.42047454189320493,5.657531788615064e-05,468,0.0012123282404175137,True
7,total_scan_vat_volume,0.3914852508012182,0.3914852508012182,0.0001177271438877549,468,0.001962119064795915,True
8,body_comp_trunk_tissue_percent_fat,0.39035248787260696,0.39035248787260696,0.00011742727026477342,468,0.001962119064795915,True
9,body_comp_android_fat_mass,0.3833204869117572,0.3833204869117572,0.00018168756172477055,468,0.002725313425871558,True
10,body_comp_trunk_region_percent_fat,0.3437286111843536,0.3437286111843536,0.0005255328891227833,468,0.007166357578947045,True
11,body_comp_arm_left_total_mass,-0.30831306457019686,0.30831306457019686,0.0016830232368800094,468,0.021037790461000117,True
12,body_comp_total_fat_mass,0.3077082957726751,0.3077082957726751,0.002013937397425946,468,0.023237739201068607,True
13,body_comp_arm_left_region_percent_fat,0.2410927461496106,0.2410927461496106,0.014973064441259284,468,0.16042569044206376,False
14,total_scan_sat_volume,-0.23332085444675607,0.23332085444675607,0.01678847918010787,468,0.16676315172511122,False
15,body_comp_leg_left_lean_mass,0.231654855490634,0.231654855490634,0.017788069517345198,468,0.16676315172511122,False
16,body_comp_leg_right_lean_mass,0.20663047795206477,0.20663047795206477,0.032072810453016416,468,0.26727342044180347,False
17,body_comp_trunk_left_lean_mass,0.20649256033444183,0.20649256033444183,0.03165158479478769,468,0.26727342044180347,False
18,body_comp_total_diff_tissue_percent_fat,0.1950597357944598,0.1950597357944598,0.042297159993165,468,0.33392494731446054,False
19,body_comp_arm_right_fat_mass,-0.1899316430547425,0.1899316430547425,0.049675980783133664,468,0.3548284341652404,False
20,body_comp_arm_left_tissue_mass,0.18882118553623534,0.18882118553623534,0.048724422986404406,468,0.3548284341652404,False
21,body_comp_legs_lean_mass,0.1867540555058562,0.1867540555058562,0.052906980407899366,468,0.3607294118720411,False
22,body_comp_arms_diff_tissue_percent_fat,-0.18495885299644485,0.18495885299644485,0.057316307630854296,468,0.36849897813724053,False
23,body_comp_trunk_left_fat_mass,-0.1842815382823762,0.1842815382823762,0.06001464426234247,468,0.36849897813724053,False
24,body_comp_arm_right_bone_mass,0.1817217080114893,0.1817217080114893,0.06141649635620675,468,0.36849897813724053,False
25,body_comp_trunk_right_fat_free_mass,-0.17656754800969823,0.17656754800969823,0.06551039407486255,468,0.37794458120113006,False
26,body_comp_legs_bone_mass,-0.16660943833560599,0.16660943833560599,0.08208169105325225,468,0.4560093947402903,False
27,body_comp_gynoid_bone_mass,-0.16405565750652115,0.16405565750652115,0.08767264778280916,468,0.4696748988364776,False
28,body_comp_total_left_fat_mass,0.16112496310254354,0.16112496310254354,0.09240069847751176,468,0.4779346472974746,False
29,body_comp_gynoid_region_percent_fat,-0.15499634851639388,0.15499634851639388,0.10286518126880038,468,0.5143259063440019,False
30,body_comp_trunk_lean_mass,-0.14934672146454142,0.14934672146454142,0.121092921128443,468,0.5676230677895765,False
31,body_comp_legs_diff_region_percent_fat,0.1490514974640596,0.1490514974640596,0.12074741170988973,468,0.5676230677895765,False
32,body_comp_total_right_lean_mass,0.1483088646202156,0.1483088646202156,0.12520721901165863,468,0.5691237227802665,False
33,body_comp_gynoid_fat_mass,-0.1462111432687049,0.1462111432687049,0.13229067293534313,468,0.5836353217735727,False
34,body_comp_arms_fat_free_mass,-0.13642565823978567,0.13642565823978567,0.15231322735415456,468,0.6527709743749481,False
35,body_comp_arms_lean_mass,-0.13179816382982548,0.13179816382982548,0.16705286618534598,468,0.6960536091056083,False
36,body_comp_leg_right_total_mass,-0.1285489571216732,0.1285489571216732,0.1825568956113487,468,0.7400955227487109,False
37,body_comp_legs_diff_bone_mass,-0.12247201769902645,0.12247201769902645,0.2013660785860949,468,0.762818115666544,False
38,body_comp_trunk_bone_mass,-0.12084649169783407,0.12084649169783407,0.20519204572681116,468,0.762818115666544,False
39,body_comp_legs_fat_free_mass,0.11933487187183939,0.11933487187183939,0.210449191826397,468,0.762818115666544,False
40,body_comp_arms_diff_total_mass,-0.11775711201560027,0.11775711201560027,0.22242094821606107,468,0.762818115666544,False
41,body_comp_trunk_left_region_percent_fat,0.11733634735189441,0.11733634735189441,0.2192650096111478,468,0.762818115666544,False
42,body_comp_arm_right_lean_mass,0.11701218719067809,0.11701218719067809,0.2235323200000472,468,0.762818115666544,False
43,body_comp_gynoid_lean_mass,0.11637531530737584,0.11637531530737584,0.2289803043594726,468,0.762818115666544,False
44,body_comp_trunk_right_bone_mass,0.11444827940162533,0.11444827940162533,0.2332757828779617,468,0.762818115666544,False
45,body_comp_trunk_left_tissue_percent_fat,0.1114367603354749,0.1114367603354749,0.24289820571281684,468,0.762818115666544,False
46,body_comp_total_left_tissue_percent_fat,-0.11133143472622022,0.11133143472622022,0.2417861863782217,468,0.762818115666544,False
47,body_comp_total_right_tissue_percent_fat,0.11009047697850964,0.11009047697850964,0.24982232505295,468,0.762818115666544,False
48,body_comp_leg_right_tissue_percent_fat,-0.10942682860131202,0.10942682860131202,0.25029066941806366,468,0.762818115666544,False
49,body_comp_trunk_tissue_mass,0.107824954321461,0.107824954321461,0.25959705770414565,468,0.762818115666544,False
50,body_comp_total_diff_fat_mass,0.10686376749211814,0.10686376749211814,0.25941104254690794,468,0.762818115666544,False
51,body_comp_arm_left_tissue_percent_fat,-0.10572955624638274,0.10572955624638274,0.2644436134310686,468,0.762818115666544,False
52,body_comp_trunk_diff_region_percent_fat,-0.10485671638488069,0.10485671638488069,0.28383287425401815,468,0.7823431476717613,False
53,body_comp_total_right_fat_free_mass,-0.10191589772896142,0.10191589772896142,0.286779234846409,468,0.7823431476717613,False
54,body_comp_trunk_right_lean_mass,0.1015414664698753,0.1015414664698753,0.28685915414631247,468,0.7823431476717613,False
55,body_comp_trunk_left_bone_mass,0.09674865377759627,0.09674865377759627,0.3121721000687394,468,0.7827371473517849,False
56,body_comp_total_left_region_percent_fat,0.09483471009060894,0.09483471009060894,0.3200376533236903,468,0.7827371473517849,False
57,body_comp_arms_region_percent_fat,0.09430654617770416,0.09430654617770416,0.32560486420414636,468,0.7827371473517849,False
58,body_comp_trunk_diff_tissue_mass,-0.09415068884225392,0.09415068884225392,0.3205822609182949,468,0.7827371473517849,False
59,total_scan_sat_mass,-0.09402800584761307,0.09402800584761307,0.32502394516568067,468,0.7827371473517849,False
60,body_comp_leg_right_fat_mass,-0.09253602079122832,0.09253602079122832,0.3344887771562447,468,0.7827371473517849,False
61,body_comp_trunk_diff_fat_mass,-0.09243483907152339,0.09243483907152339,0.334922176594751,468,0.7827371473517849,False
62,body_comp_arm_right_region_percent_fat,0.09192050924905645,0.09192050924905645,0.33842551579295843,468,0.7827371473517849,False
63,body_comp_total_diff_bone_mass,0.0917912595953235,0.0917912595953235,0.3396179089330036,468,0.7827371473517849,False
64,body_comp_total_lean_mass,0.09167952055534888,0.09167952055534888,0.3401751057408676,468,0.7827371473517849,False
65,body_comp_arms_tissue_percent_fat,-0.09068226040335528,0.09068226040335528,0.35020169455052885,468,0.7827371473517849,False
66,body_comp_android_tissue_mass,0.08968632081858607,0.08968632081858607,0.3468845577994164,468,0.7827371473517849,False
67,body_comp_trunk_left_total_mass,0.08861370649739767,0.08861370649739767,0.35484084013280914,468,0.7827371473517849,False
68,body_comp_arm_right_tissue_mass,0.08607427803946635,0.08607427803946635,0.3678416178859205,468,0.7996556910563489,False
69,body_comp_arms_total_mass,-0.085461838913546,0.085461838913546,0.37461346713633326,468,0.8027431438635713,False
70,body_comp_trunk_left_fat_free_mass,-0.08255584531694256,0.08255584531694256,0.3887031117903421,468,0.8049454124117075,False
71,body_comp_legs_tissue_percent_fat,0.08162985279633157,0.08162985279633157,0.39590628201820655,468,0.8049454124117075,False
72,body_comp_android_fat_free_mass,0.08125021872759447,0.08125021872759447,0.39956686481673787,468,0.8049454124117075,False
73,body_comp_gynoid_tissue_mass,-0.08084706394596919,0.08084706394596919,0.398169636009194,468,0.8049454124117075,False
74,body_comp_arms_bone_mass,0.07728225991805492,0.07728225991805492,0.4193462219824643,468,0.8049454124117075,False
75,body_comp_arms_fat_mass,0.07532167349071076,0.07532167349071076,0.42831646360981723,468,0.8049454124117075,False
76,body_comp_android_lean_mass,0.07508261021164053,0.07508261021164053,0.43024274496248593,468,0.8049454124117075,False
77,body_comp_trunk_diff_lean_mass,0.0740379993737645,0.0740379993737645,0.4376038427997695,468,0.8049454124117075,False
78,body_comp_trunk_right_region_percent_fat,0.07396166270084664,0.07396166270084664,0.43747115694091354,468,0.8049454124117075,False
79,body_comp_total_bone_mass,0.07388767022076913,0.07388767022076913,0.43877690306636896,468,0.8049454124117075,False
80,body_comp_arm_left_fat_mass,-0.07318039752551879,0.07318039752551879,0.44412058159361256,468,0.8049454124117075,False
