,Phenotype,Score
0,total_scan_vat_area,0.6428578235025949
1,total_scan_vat_volume,0.6406929872095588
2,total_scan_vat_mass,0.6339165725285877
3,body_comp_android_fat_mass,0.5865537129885884
4,body_comp_trunk_fat_mass,0.5844199336358666
5,body_comp_total_fat_mass,0.5830846988529423
6,total_scan_sat_volume,0.581140507987054
7,total_scan_sat_area,0.5741219784471724
8,total_scan_sat_mass,0.5673548609309971
9,body_comp_android_tissue_percent_fat,0.561623206591375
10,body_comp_trunk_tissue_percent_fat,0.5608115148678469
11,body_comp_total_region_percent_fat,0.5602383665753587
12,body_comp_total_tissue_percent_fat,0.5566108265224463
13,body_comp_android_region_percent_fat,0.5541821998606842
14,body_comp_trunk_region_percent_fat,0.5536402816606354
15,body_comp_arms_diff_fat_free_mass,0.550095147351585
16,body_comp_trunk_diff_fat_free_mass,0.54975911872841
17,body_comp_total_right_bone_mass,0.5475064261924972
18,body_comp_arm_left_total_mass,0.5465861438325891
19,body_comp_gynoid_bone_mass,0.5451113804479163
20,body_comp_arms_fat_mass,0.5450843223605175
21,body_comp_total_diff_fat_mass,0.5439968557918757
22,body_comp_gynoid_total_mass,0.543722683791361
23,body_comp_trunk_right_lean_mass,0.5420396248673841
24,body_comp_android_tissue_mass,0.5418716087545258
25,body_comp_legs_diff_total_mass,0.5412191689941995
26,body_comp_trunk_diff_total_mass,0.5411980793781511
27,body_comp_legs_fat_free_mass,0.54108508024826
28,body_comp_trunk_left_bone_mass,0.5410131142055514
29,body_comp_total_right_tissue_percent_fat,0.5407215026495232
